head_node_label,head_node_attritute,r_type,r_attritube,tail_node_label,tail_node_attribute
district,name:'临安区',school,name:'幼儿园',幼儿园,"name:'昌化镇中心幼儿园西街园区',address:'西园里3号', task_id:'school'"
district,name:'临安区',school,name:'幼儿园',幼儿园,"name:'天目山镇告岭幼儿园',address:'钟家31号', task_id:'school'"
district,name:'临安区',school,name:'幼儿园',幼儿园,"name:'潜川镇中心幼儿园',address:'潜川镇下村162东南方向115米', task_id:'school'"
district,name:'临安区',school,name:'幼儿园',幼儿园,"name:'石镜幼儿园',address:'石镜街488号', task_id:'school'"
district,name:'临安区',school,name:'幼儿园',幼儿园,"name:'茗茗幼儿园',address:'邱家头29东南方向106米', task_id:'school'"
district,name:'临安区',school,name:'幼儿园',幼儿园,"name:'临安区锦城中心幼儿园',address:'西瓜路8', task_id:'school'"
district,name:'临安区',school,name:'幼儿园',幼儿园,"name:'天目山镇中心幼儿园',address:'建国新街123西北方向148米', task_id:'school'"
district,name:'临安区',school,name:'幼儿园',幼儿园,"name:'临安区锦城街道大风车幼儿园',address:'大华路130', task_id:'school'"
district,name:'临安区',school,name:'幼儿园',幼儿园,"name:'於潜镇中心幼儿园潜阳园区',address:'杏花路151东南方向187米', task_id:'school'"
district,name:'临安区',school,name:'幼儿园',幼儿园,"name:'玲珑街道中心幼儿园',address:'玲珑站89', task_id:'school'"
district,name:'临安区',school,name:'幼儿园',幼儿园,"name:'临安区清凉峰镇中心幼儿园马啸园区',address:'下门55号', task_id:'school'"
district,name:'临安区',school,name:'幼儿园',幼儿园,"name:'贝贝幼儿园',address:'临天路9弄22', task_id:'school'"
district,name:'临安区',school,name:'幼儿园',幼儿园,"name:'七色花幼儿园',address:'竹林街219', task_id:'school'"
district,name:'临安区',school,name:'幼儿园',幼儿园,"name:'牌联村幼儿园',address:'板桥镇牌联村', task_id:'school'"
district,name:'临安区',school,name:'幼儿园',幼儿园,"name:'太湖源镇金岫幼儿园',address:'金岫71号', task_id:'school'"
district,name:'临安区',school,name:'幼儿园',幼儿园,"name:'东天目中心学校东天目乡中心幼儿园',address:'浙江省杭州市临安区', task_id:'school'"
district,name:'临安区',school,name:'幼儿园',幼儿园,"name:'於潜镇中心幼儿园绍鲁分园',address:'於潜镇绍鲁村绍鲁1号', task_id:'school'"
district,name:'临安区',school,name:'幼儿园',幼儿园,"name:'临安区钱王幼儿园',address:'钱王街663', task_id:'school'"
district,name:'临安区',school,name:'幼儿园',幼儿园,"name:'春蕾幼儿园',address:'横谭村330号正南方向111米', task_id:'school'"
district,name:'临安区',school,name:'幼儿园',幼儿园,"name:'昌化镇中心幼儿园东街分园',address:'东塔路22', task_id:'school'"
district,name:'临安区',school,name:'幼儿园',幼儿园,"name:'ABC幼儿园',address:'锦城街道新溪桥21号', task_id:'school'"
district,name:'临安区',school,name:'幼儿园',幼儿园,"name:'林水山居幼儿园',address:'环城北路浙江林学院西侧林水山居', task_id:'school'"
district,name:'临安区',school,name:'幼儿园',幼儿园,"name:'临安市丰泽苑幼儿园',address:'浙江省杭州市临安区', task_id:'school'"
district,name:'临安区',school,name:'幼儿园',幼儿园,"name:'高虹中心幼儿园德胜园区',address:'德胜街86', task_id:'school'"
district,name:'临安区',school,name:'幼儿园',幼儿园,"name:'锦城街道中心幼儿园',address:'锦江路1008', task_id:'school'"
district,name:'临安区',school,name:'幼儿园',幼儿园,"name:'临安区玲珑街道化龙幼儿园',address:'浙江省杭州市临安区', task_id:'school'"
district,name:'临安区',school,name:'幼儿园',幼儿园,"name:'龙岗镇大峡谷中心幼儿园上溪分园',address:'华浪线大峡谷镇中心小学', task_id:'school'"
district,name:'临安区',school,name:'幼儿园',幼儿园,"name:'金太阳幼儿园',address:'胜利巷58', task_id:'school'"
district,name:'临安区',school,name:'幼儿园',幼儿园,"name:'板桥启蒙幼儿园',address:'下板桥223正北方向193米', task_id:'school'"
district,name:'临安区',school,name:'幼儿园',幼儿园,"name:'绿岛幼儿园',address:'钱王街1239号绿岛花园南区', task_id:'school'"
district,name:'临安区',school,name:'幼儿园',幼儿园,"name:'临安区藻溪镇横塘幼儿园',address:'横塘52西北方向48米', task_id:'school'"
district,name:'临安区',school,name:'幼儿园',幼儿园,"name:'汪家埠幼儿园',address:'青山湖街道洞霄宫村汪家埠52号', task_id:'school'"
district,name:'临安区',school,name:'幼儿园',幼儿园,"name:'蓝领幼儿园',address:'浙江省杭州市临安区', task_id:'school'"
district,name:'临安区',school,name:'幼儿园',幼儿园,"name:'金色阳光幼儿园',address:'棋盘弄38号', task_id:'school'"
district,name:'临安区',school,name:'幼儿园',幼儿园,"name:'大风车幼儿园',address:'畔湖路78', task_id:'school'"
district,name:'临安区',school,name:'幼儿园',幼儿园,"name:'新民幼儿园',address:'江桥二弄25号', task_id:'school'"
district,name:'临安区',school,name:'幼儿园',幼儿园,"name:'临安区昌化镇中心幼儿园',address:'东平弄30', task_id:'school'"
district,name:'临安区',school,name:'幼儿园',幼儿园,"name:'於潜镇中心幼儿园凌口分园',address:'凌口桥8正西方向61米', task_id:'school'"
district,name:'临安区',school,name:'幼儿园',幼儿园,"name:'太阳镇中心幼儿园景村分园',address:'太阳镇景云线', task_id:'school'"
district,name:'临安区',school,name:'幼儿园',幼儿园,"name:'大风车幼儿园',address:'潜阳路187', task_id:'school'"
district,name:'临安区',school,name:'幼儿园',幼儿园,"name:'阳光宝贝幼儿园',address:'板桥镇高湾村', task_id:'school'"
district,name:'临安区',school,name:'幼儿园',幼儿园,"name:'妇联幼儿园',address:'西林街458', task_id:'school'"
district,name:'临安区',school,name:'幼儿园',幼儿园,"name:'龙岗镇中心幼儿园',address:'龙岗街龙岗镇中心幼儿园', task_id:'school'"
district,name:'临安区',school,name:'幼儿园',幼儿园,"name:'林水山居幼儿园',address:'环北路418林水山居', task_id:'school'"
district,name:'临安区',school,name:'幼儿园',幼儿园,"name:'小世界幼儿园',address:'藻溪镇桂芳桥正西方向107米', task_id:'school'"
