head_node_label,head_node_attritute,r_type,r_attritube,tail_node_label,tail_node_attribute
district,name:'青山区',school,name:'幼儿园',幼儿园,"name:'青山区实验科技幼儿园',address:'工业一路55', task_id:'school'"
district,name:'青山区',school,name:'幼儿园',幼儿园,"name:'中建·开元公馆幼儿园',address:'湖北省武汉市青山区旅大街1号楼附近', task_id:'school'"
district,name:'青山区',school,name:'幼儿园',幼儿园,"name:'切瑞思幼儿园',address:'园林路25附4', task_id:'school'"
district,name:'青山区',school,name:'幼儿园',幼儿园,"name:'芳芳.七彩世界幼儿园',address:'湖北省武汉市青山区友谊大道935号', task_id:'school'"
district,name:'青山区',school,name:'幼儿园',幼儿园,"name:'亿童幼教机构依江畔园幼儿园',address:'依江畔园小区', task_id:'school'"
district,name:'青山区',school,name:'幼儿园',幼儿园,"name:'青山区第二幼儿园',address:'二十四街坊79门附1', task_id:'school'"
district,name:'青山区',school,name:'幼儿园',幼儿园,"name:'青山区青宜居幼儿园青馨居分园',address:'湖北省武汉市青山区油坊岭街2号正东方向110米', task_id:'school'"
district,name:'青山区',school,name:'幼儿园',幼儿园,"name:'宝宝艺术幼儿园',address:'群居欣苑特1号正西方向190米', task_id:'school'"
district,name:'青山区',school,name:'幼儿园',幼儿园,"name:'东兴小太阳幼儿园',address:'三弓路3附9', task_id:'school'"
district,name:'青山区',school,name:'幼儿园',幼儿园,"name:'青山区钢城实验幼儿园',address:'恩施街11', task_id:'school'"
district,name:'青山区',school,name:'幼儿园',幼儿园,"name:'新起点艺术幼儿园',address:'青化路北湖社区居委会西行200米路北', task_id:'school'"
district,name:'青山区',school,name:'幼儿园',幼儿园,"name:'青山区第二幼儿园恒大御府园',address:'湖北省武汉市青山区工业二路11号', task_id:'school'"
district,name:'青山区',school,name:'幼儿园',幼儿园,"name:'红苹果实验幼儿园',address:'钢都花园122街坊91门附4', task_id:'school'"
district,name:'青山区',school,name:'幼儿园',幼儿园,"name:'武汉隆达石化幼儿园',address:'长阳街1临正北方向20米', task_id:'school'"
district,name:'青山区',school,name:'幼儿园',幼儿园,"name:'青山区青宜居幼儿园',address:'湖北省武汉市青山区宜居路48号', task_id:'school'"
district,name:'青山区',school,name:'幼儿园',幼儿园,"name:'初蒙国际幼儿园',address:'吉林街16附1', task_id:'school'"
district,name:'青山区',school,name:'幼儿园',幼儿园,"name:'乐天幼儿园',address:'沿港一巷10正北方向10米', task_id:'school'"
district,name:'青山区',school,name:'幼儿园',幼儿园,"name:'查儿德幼儿园',address:'钢花村120街坊21门附1', task_id:'school'"
district,name:'青山区',school,name:'幼儿园',幼儿园,"name:'小太阳艺术幼儿园',address:'白玉山21号公路10号', task_id:'school'"
district,name:'青山区',school,name:'幼儿园',幼儿园,"name:'爱思学青城华庭幼儿园',address:'湖北省武汉市青山区随州街36号', task_id:'school'"
district,name:'青山区',school,name:'幼儿园',幼儿园,"name:'青山区第一幼儿园',address:'新沟桥25街27号', task_id:'school'"
district,name:'青山区',school,name:'幼儿园',幼儿园,"name:'冶金街中心幼儿园',address:'惠济社区内', task_id:'school'"
district,name:'青山区',school,name:'幼儿园',幼儿园,"name:'小浪花幼儿园',address:'黄州街7', task_id:'school'"
district,name:'青山区',school,name:'幼儿园',幼儿园,"name:'新世纪艺术幼儿园',address:'康宁路3附1', task_id:'school'"
district,name:'青山区',school,name:'幼儿园',幼儿园,"name:'青山区绿地花园幼儿园',address:'湖北省武汉市青山区宜居路79号', task_id:'school'"
district,name:'青山区',school,name:'幼儿园',幼儿园,"name:'青山区昭瑞英才幼儿园',address:'湖北省武汉市青山区康居路2号', task_id:'school'"
district,name:'青山区',school,name:'幼儿园',幼儿园,"name:'启明星幼儿园',address:'湖北省武汉市青山区临江大道896附7号', task_id:'school'"
district,name:'青山区',school,name:'幼儿园',幼儿园,"name:'新乔双语艺术幼儿园',address:'绿景苑内', task_id:'school'"
district,name:'青山区',school,name:'幼儿园',幼儿园,"name:'蒙特梭利双语幼儿园(国际部)',address:'湖北省武汉市青山区随州街20(公园家)', task_id:'school'"
district,name:'青山区',school,name:'幼儿园',幼儿园,"name:'诺斯顿童话世界幼儿园',address:'钢花村121街坊18门附1', task_id:'school'"
