head_node_label,head_node_attritute,r_type,r_attritube,tail_node_label,tail_node_attribute
district,name:'鄂城区',school,name:'幼儿园',幼儿园,"name:'育才幼儿园',address:'五里墩摩托车市场万福家园', task_id:'school'"
district,name:'鄂城区',school,name:'幼儿园',幼儿园,"name:'导航幼儿园',address:'建设街32', task_id:'school'"
district,name:'鄂城区',school,name:'幼儿园',幼儿园,"name:'睿博幼儿园',address:'五里墩中巷与花园北路交叉口东50米', task_id:'school'"
district,name:'鄂城区',school,name:'幼儿园',幼儿园,"name:'鄂州市育才幼儿园',address:'武昌大道119', task_id:'school'"
district,name:'鄂城区',school,name:'幼儿园',幼儿园,"name:'欢欢幼儿园',address:'文星紫轩小区三单元201/202', task_id:'school'"
district,name:'鄂城区',school,name:'幼儿园',幼儿园,"name:'青鸟·志德幼儿园',address:'南浦路133', task_id:'school'"
district,name:'鄂城区',school,name:'幼儿园',幼儿园,"name:'小燕子艺术幼儿园',address:'南塔街16', task_id:'school'"
district,name:'鄂城区',school,name:'幼儿园',幼儿园,"name:'宝韵音乐幼稚园',address:'明塘后路4-22', task_id:'school'"
district,name:'鄂城区',school,name:'幼儿园',幼儿园,"name:'程潮铁矿幼儿园',address:'铁矿九路8东北方向60米', task_id:'school'"
district,name:'鄂城区',school,name:'幼儿园',幼儿园,"name:'燕矶镇陶然艺术幼儿园',address:'燕矶大道118西北方向70米', task_id:'school'"
district,name:'鄂城区',school,name:'幼儿园',幼儿园,"name:'鄂城区沙窝中心幼儿园',address:'湖北省鄂州市鄂城区', task_id:'school'"
district,name:'鄂城区',school,name:'幼儿园',幼儿园,"name:'燕矶镇中心幼儿园',address:'燕矶镇燕矶街69号S112', task_id:'school'"
district,name:'鄂城区',school,name:'幼儿园',幼儿园,"name:'育苗幼儿园',address:'十字街41', task_id:'school'"
district,name:'鄂城区',school,name:'幼儿园',幼儿园,"name:'畅想幼儿园',address:'菜园头村1组', task_id:'school'"
district,name:'鄂城区',school,name:'幼儿园',幼儿园,"name:'泽林镇实验幼儿园',address:'江碧路686正东方向190米', task_id:'school'"
district,name:'鄂城区',school,name:'幼儿园',幼儿园,"name:'蕴福里幼儿园',address:'湖北省鄂州市鄂城区', task_id:'school'"
district,name:'鄂城区',school,name:'幼儿园',幼儿园,"name:'燕园幼儿园',address:'古肆南街6', task_id:'school'"
district,name:'鄂城区',school,name:'幼儿园',幼儿园,"name:'慧人幼儿园',address:'花园南路1号', task_id:'school'"
district,name:'鄂城区',school,name:'幼儿园',幼儿园,"name:'艾乐国际幼儿园',address:'驰恒之城079号西北方向190米', task_id:'school'"
district,name:'鄂城区',school,name:'幼儿园',幼儿园,"name:'驰恒幼儿园',address:'驰恒之城112号东北方向100米', task_id:'school'"
district,name:'鄂城区',school,name:'幼儿园',幼儿园,"name:'亿童贝贝幼儿园',address:'古城路169西南方向40米', task_id:'school'"
district,name:'鄂城区',school,name:'幼儿园',幼儿园,"name:'东方幼儿园',address:'五里墩汽车大市场正西方向100米', task_id:'school'"
district,name:'鄂城区',school,name:'幼儿园',幼儿园,"name:'鄂州市蒙台梭利国际幼儿园',address:'卧虎路与寿昌大道交叉口东北50米', task_id:'school'"
district,name:'鄂城区',school,name:'幼儿园',幼儿园,"name:'吴垴幼儿园',address:'湖北省鄂州市鄂城区', task_id:'school'"
district,name:'鄂城区',school,name:'幼儿园',幼儿园,"name:'亲亲幼儿园',address:'滨湖南路28-12', task_id:'school'"
district,name:'鄂城区',school,name:'幼儿园',幼儿园,"name:'鄂州市实验幼儿园',address:'十字街66', task_id:'school'"
district,name:'鄂城区',school,name:'幼儿园',幼儿园,"name:'诺贝尔幼儿园',address:'滨湖南路99', task_id:'school'"
district,name:'鄂城区',school,name:'幼儿园',幼儿园,"name:'红日幼儿园',address:'黄金山路26号', task_id:'school'"
district,name:'鄂城区',school,name:'幼儿园',幼儿园,"name:'中厚爱贝艺术幼儿园',address:'寿昌大道30', task_id:'school'"
