head_node_label,head_node_attritute,r_type,r_attritube,tail_node_label,tail_node_attribute
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'向阳幼儿园',address:'湖南省长沙市浏阳市', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'杉松彩虹桥幼儿园',address:'盛世农家道吾山路南正西方向104米', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'胡坪新星幼儿园',address:'湖南省长沙市浏阳市', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'阿凡提幼儿园',address:'严家冲路8-4', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'紫金阁幼儿园',address:'金沙北路265', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'大瑶中心幼儿园',address:'李畋路132', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'丁字小天使幼儿园',address:'湖南省长沙市浏阳市', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'福彩幼儿园',address:'湖南省长沙市浏阳市', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'浏阳市奥林艺术幼儿园',address:'劳动北路北旺里2号', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'四叶草君悦幼儿园',address:'君悦天下15-175', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'金秀幼儿园',address:'蕉溪乡高升路1正西方向102米', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'三口中心幼儿园',address:'三口镇东盈村', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'群星幼儿园',address:'湖南省长沙市浏阳市', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'国际蒙特梭利金刚幼儿园',address:'金刚镇强胜步行街绿州路01号东南方向44米', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'成功幼儿园',address:'湖南省长沙市浏阳市', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'金鹿幼儿园',address:'金沙中路485', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'北京红缨新屋岭幼儿园',address:'礼花路二段113', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'枨冲智慧树幼儿园',address:'枨冲镇东南方向123米', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'阳光未来幼稚园',address:'古港镇书院路10号正东方向64米', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'苍柏幼儿园',address:'向阳组', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'小精灵幼儿园',address:'荷花办理处正北方向196米', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'人之初国学幼儿园',address:'瑶浏路49东南方向116米', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'黄泥湾金鹰三幼',address:'黄泥湾路61号', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'蓝精灵幼儿园',address:'一零六国道(近袁家湾)', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'怡家宝贝幼儿园',address:'永和镇沿宝路(近人民路)正西方向122米', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'永安中心幼儿园',address:'永安镇文昌阁正西方向94米', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'澄潭江中心幼儿园',address:'慈善路100', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'比比幼儿园',address:'太平桥景泰路西北方向60米', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'浏阳市格林幼儿园',address:'东沙新村一区1栋5号西北方向40米', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'未来星幼儿园',address:'湖南省长沙市浏阳市', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'金沙路小学附属幼儿园',address:'荷花路110-10', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'威尔贝特幼稚园',address:'湖南省长沙市浏阳市', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'北京齐家·6+1开心果礼仪幼儿园',address:'花炮大道346正东方向42米', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'天乐双语幼稚园',address:'生物医药园山地街11栋', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'小博士幼儿园',address:'关口街道长兴社区复兴小区7号', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'大瑶完小附属幼儿园',address:'大瑶镇枫林村琅珊路大瑶派出所3号东南方向107米', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'启蒙幼儿园',address:'湖南省长沙市浏阳市', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'浏阳市金色童年幼儿园',address:'荷花园社区金沙南路297号', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'国际蒙特梭利幼儿园亚大园',address:'道吾山中路1', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'开心宝贝幼儿园',address:'北岭路33', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'未来星幼儿园',address:'李畋路4号正东方向97米', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'蒙亿幼儿园',address:'新高路18东北方向98米', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'智多星幼儿园',address:'湖南省长沙市浏阳市', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'艺海剑桥幼儿园',address:'广场路附近西南方向98米', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'小红帽幼儿园',address:'湖南省长沙市浏阳市', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'官桥中心幼儿园',address:'官桥镇集镇社区', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'国际蒙特梭利幼儿园城东园',address:'淮川街道城东新村淮东东路1号', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'泮春中心幼儿园',address:'龙伏集镇正东方向59米', task_id:'school'"
district,name:'浏阳市',school,name:'幼儿园',幼儿园,"name:'小小兵双语艺术幼儿园',address:'永安镇通程商业广场正北方向141米', task_id:'school'"
